"APN","Address - Street Number","Address - Street Name","Address - Zip Code","Bedrooms","Bathrooms","MTRO Square Footage","Lot Size - Acres","Year Built","Property Condition","Remodeled/Updated","Remodeled/Updated Desc","DOM","CDOM","Original Price","List Price","Close Price","On Market Date","Close Date","Multiple Offers","Number of Offers"
"272-0290-075-0000","5139","Peggy","95608","4","4 (3 1)","3782","0.2180","2017","","No","","32","328","499000.00","499000.00","475000.00","09/10/18","01/15/19","No","0"
"273-0042-011-0000","3316","Vienna","95608","4","2 (2 0)","2026","0.4100","1956","Updated/Remodeled","Yes","Kitchen 0-5YR,Other-Rmks 0-5YR","115","115","540000.00","499000.00","475000.00","08/28/18","01/28/19","No","0"
"245-0223-004-0000","6440","Miles","95608","3","2 (2 0)","1411","0.2400","1957","Updated/Remodeled","Yes","Bath 0-5YR,Bed 0-5YR,Kitchen 0-5YR","149","149","375000.00","365000.00","350000.00","08/23/18","02/19/19","No","0"
"256-0123-006-0000","3524","Comstock","95608","3","2 (1 1)","1528","0.2500","1956","","Unknown","","109","109","320000.00","285000.00","285000.00","08/21/18","01/07/19","Yes","4"
"236-0233-008-0000","4722","Wilmer","95608","4","2 (2 0)","1701","0.2537","1963","Updated/Remodeled","Yes","Bath 0-5YR,Kitchen 0-5YR","95","95","474950.00","439950.00","430000.00","08/16/18","07/11/19","Yes","3"
"273-0230-028-0000","6310","Van Alstine","95608","3-4","3 (3 0)","3149","2.1700","2008","","No","","191","191","1825000.00","1699950.00","1500000.00","08/10/18","04/05/19","No","0"
"289-0071-014","1535","Mission","95608","3","3 (2 1)","2087","0.2500","1970","Updated/Remodeled","Yes","Kitchen 6-10YR,Other-Rmks 0-5YR","234","234","659000.00","594000.00","560000.00","08/08/18","05/09/19","No","0"
"260-0400-014-0000","3524","Bluff","95608","3-4","3 (2 1)","2146","0.3138","1977","Updated/Remodeled","Yes","Bath 0-5YR,Kitchen 0-5YR","159","159","699999.00","677000.00","670000.00","08/11/18","02/28/19","No","0"
"258-0282-018-0000","4056","Linus","95608","3","2 (2 0)","1612","0.3100","1965","Updated/Remodeled","Yes","Bath 6-10YR,Other-Rmks 6-10YR","28","28","339900.00","339900.00","315000.00","07/26/18","01/31/19","No","0"
"273-0070-015-0000","6125","Merry","95608","4","3 (3 0)","2537","0.2082","2018","Updated/Remodeled","Yes","Bath 0-5YR,Bed 0-5YR,Kitchen 0-5YR","276","276","649900.00","579900.00","547000.00","07/06/18","05/31/19","No","0"
"283-0321-017-0000","2051","Lambeth","95608","4","3 (3 0)","2690","0.4740","1963","Updated/Remodeled","Yes","Bath 0-5YR,Kitchen 0-5YR","182","182","899900.00","849000.00","800000.00","06/28/18","01/28/19","No","0"
"292-0442-014-0000","4884","Kipling","95608","4","3 (3 0)","2502","0.2600","1972","Updated/Remodeled","Yes","Bath 6-10YR,Kitchen 0-5YR","214","243","775000.00","715000.00","700000.00","06/29/18","02/19/19","Yes","2"
"247-0271-052-0016","7110","Stella","95608","2","2 (2 0)","1017","","2006","","No","","75","75","195000.00","184900.00","180000.00","09/29/18","01/28/19","No","0"
"236-0235-002-0000","4707","Ritter","95608","4","2 (2 0)","1898","0.2273","1965","","Unknown","","64","114","400000.00","370000.00","360000.00","09/26/18","01/02/19","Yes","2"
"232-0241-006-0000","6333","Templeton","95608","3","1 (1 0)","936","0.1500","1958","Updated/Remodeled","Yes","Bath 0-5YR,Kitchen 0-5YR","77","77","305000.00","299500.00","290000.00","09/14/18","01/11/19","No","0"
"273-0162-001-0000","2818","Panay","95608","3","2 (2 0)","1548","0.2300","1957","Updated/Remodeled","Yes","Bath 0-5YR,Kitchen 0-5YR,Other-Rmks 0-5YR","32","32","415000.00","390000.00","373437.00","09/06/18","01/09/19","Yes","2"
"256-0112-023-0000","4810","Foster","95608","3","4 (2 2)","1798","0.2600","1963","","No","","111","111","399900.00","369900.00","345000.00","09/21/18","01/30/19","No","0"
"260-0360-008-0000","6216","Sutter","95608","3","3 (2 1)","1806","0.1859","1965","Updated/Remodeled","Yes","Bath 11-15YR,Bed 11-15YR,Kitchen 11-15YR","101","101","479900.00","439900.00","439900.00","09/06/18","01/16/19","No","0"
"272-0280-047-0000","2553","Winsford","95608","4","3 (2 1)","2426","0.1154","1987","Updated/Remodeled","Yes","Bath 0-5YR,Bed 0-5YR,Kitchen 0-5YR,Other-Rmks 0-5YR","104","104","475000.00","424900.00","440000.00","08/30/18","01/11/19","Yes","3"
"236-0281-053-000","6031","Jeremy","95608","4","2 (2 0)","1732","0.2800","1982","Updated/Remodeled","Yes","Kitchen 6-10YR","68","68","465000.00","465000.00","457500.00","10/29/18","02/07/19","Yes","2"
"245-0260-052-0000","4106","Poppleton","95608","4","3 (3 0)","2500","0.2128","2003","Updated/Remodeled","Yes","Other-Rmks 11-15YR","35","35","599500.00","599500.00","596000.00","08/29/18","02/28/19","No","0"
"232-0201-020-0000","6040","Coyle","95608","3","2 (2 0)","1078","0.1500","1958","Updated/Remodeled","Yes","Bath 0-5YR,Other-Rmks 0-5YR","118","118","285000.00","270000.00","262000.00","08/24/18","04/02/19","Yes","12"
"245-0104-002-0000","4324","Marl","95608","3","2 (2 0)","1352","0.2259","1961","Updated/Remodeled","Yes","Bath 0-5YR,Bed 0-5YR,Kitchen 0-5YR","61","61","399900.00","369900.00","369900.00","10/11/18","01/10/19","Yes","2"
"232-0414-013-0000","6312","Aslin","95608","3-4","2 (2 0)","1503","0.1400","1961","Updated/Remodeled","Yes","Kitchen 0-5YR","61","61","320000.00","320000.00","305000.00","10/10/18","01/22/19","No","0"
"236-0341-004-0000","6637","Moraga","95608","3","2 (2 0)","1441","0.1400","1970","Updated/Remodeled","Yes","Bath 0-5YR,Other-Rmks 0-5YR","127","127","365000.00","345000.00","345000.00","10/02/18","03/21/19","Yes","2"
"289-0080-036-0000","1601","Copenhagen","95608","3-4","5 (3 2)","3675","0.4900","1980","","No","","136","136","1050000.00","895000.00","810000.00","09/29/18","03/28/19","No","0"
"230-0610-003-0003","5317","Manzanita","95608","2","2 (1 1)","880","0.0160","1972","Updated/Remodeled","Yes","Bath 0-5YR,Kitchen 0-5YR","158","158","194900.00","179900.00","175000.00","10/12/18","03/25/19","No","0"
"258-0294-006-0000","3840","Maudray","95608","4-5","3 (2 1)","2817","0.2600","1967","","No","","97","97","429000.00","449000.00","441000.00","10/12/18","02/05/19","Yes","5"
"245-0291-001-0000","6258","Winding","95608","3","2 (2 0)","1879","0.2107","1973","Updated/Remodeled","Yes","Bed 0-5YR,Kitchen 0-5YR","120","120","435000.00","398000.00","375000.00","10/13/18","03/13/19","No","0"
"261-0321-062-0000","6061","Shirley","95608","5-6","3 (3 0)","2430","0.2358","2000","","No","","59","59","539900.00","539900.00","520000.00","10/13/18","01/18/19","No","0"
"260-0142-006-0000","7040","Sutter","95608","3-4","1 (1 0)","1327","0.2461","1957","Updated/Remodeled","Yes","Kitchen 6-10YR","7","7","265000.00","265000.00","290000.00","10/31/18","02/28/19","Yes","6"
"236-0262-009-0000","4869","Schuyler","95608","3","2 (2 0)","1764","0.2017","1974","Updated/Remodeled","Yes","Bath 0-5YR,Other-Rmks 0-5YR","76","76","418000.00","394000.00","394000.00","10/19/18","01/16/19","No","0"
"245-0051-005-0000","4510","Stoney","95608","3","2 (2 0)","1535","0.1986","1959","","Unknown","","59","59","415000.00","415000.00","400000.00","10/23/18","01/23/19","No","0"
"247-0034-001-000","4531","Northampton","95608","4","4 (3 1)","2305","0.3017","1959","","Unknown","","53","122","478955.00","468000.00","440000.00","10/23/18","01/15/19","No","0"
"247-0271-052-0032","7131","Stella","95608","2","2 (2 0)","1017","","2006","Updated/Remodeled","Yes","Bath 6-10YR,Bed 6-10YR,Kitchen 6-10YR","54","54","220000.00","199999.00","206000.00","10/19/18","01/11/19","Yes","2"
