DATE,PRIME
2000-02-03,8.75
2000-03-22,9.00
2000-05-17,9.50
2001-01-04,9.00
2001-02-01,8.50
2001-03-21,8.00
2001-04-19,7.50
2001-05-16,7.00
2001-06-28,6.75
2001-08-22,6.50
2001-09-18,6.00
2001-10-03,5.50
2001-11-07,5.00
2001-12-12,4.75
2002-11-07,4.25
2003-06-27,4.00
2004-07-01,4.25
2004-08-11,4.50
2004-09-21,4.75
2004-11-10,5.00
2004-12-15,5.25
2005-02-02,5.50
2005-03-22,5.75
2005-05-03,6.00
2005-06-30,6.25
2005-08-09,6.50
2005-09-20,6.75
2005-11-01,7.00
2005-12-13,7.25
2006-01-31,7.50
2006-03-28,7.75
2006-05-10,8.00
2006-06-29,8.25
2007-09-18,7.75
2007-10-31,7.50
2007-12-11,7.25
2008-01-22,6.50
2008-01-30,6.00
2008-03-18,5.25
2008-04-30,5.00
2008-10-08,4.50
2008-10-29,4.00
2008-12-16,3.25
2015-12-17,3.50
2016-12-15,3.75
2017-03-16,4.00
2017-06-15,4.25
2017-12-14,4.50
2018-03-22,4.75
2018-06-14,5.00
2018-09-27,5.25
2018-12-20,5.50
2019-08-01,5.25
2019-09-19,5.00
2019-10-31,4.75
2020-03-04,4.25
2020-03-16,3.25
2022-03-17,3.5
2022-05-05,4.0
2022-06-16,4.75
2022-07-28,5.50
2022-09-22,6.25
2022-11-03,7.00
2022-12-15,7.50
2023-02-02,7.75
