APN,Address - Street Number,Address - Street Name,Address - Zip Code,Bedrooms,Bathrooms,MTRO Square Footage,Lot Size - Acres,Year Built,DOM,CDOM,Original Price,List Price,Close Price,Close Date,DPRIME
236-0243-003-0000,6248,Saint James,95608,4,3,2123,0.21,1962,0,28,239500,239500,235000,2000-05-08,9.0
292-0500-070-0000,1057,Harrington,95608,3,2,1832,0.21,1984,0,10,285000,285000,278000,2000-05-08,9.0
260-0410-014-0000,3930,Cyrus,95608,3,3,1480,0.19,1992,0,399,159000,159000,157500,2000-07-05,9.5
283-0151-025-0000,2124,Gunn (Priv Ln),95608,4,2,1994,0.17,1991,0,80,229000,219900,217000,2000-07-05,9.5
273-0112-028-0000,3005,California-priv.Ln,95608,3,2,1451,0.23,1980,0,46,182500,179000,174000,2000-07-05,9.5
273-0121-010-0000,6237,Kiernan,95608,3,2,1432,0.23,1957,0,71,194950,194950,194950,2000-07-05,9.5
247-0293-006-0000,4606,Las Lindas,95608,4,2,2114,0.18,1970,0,7,205000,205000,205000,2000-02-24,8.75
236-0273-009-0000,5014,Crestview,95608,3,2,1658,0.19,1967,0,69,169900,169900,165000,2000-02-24,8.75
271-0211-013-0000,2736,Mission,95608,3,2,1900,0.25,1964,0,27,204500,204500,204500,2000-03-30,9.0
283-0070-004-0000,5115,Melvin,95608,3,2,1339,0.23,1957,0,51,162000,159850,159850,2000-03-30,9.0
283-0333-005-0000,1920,Shelfield,95608,4,3,2063,0.24,1971,0,21,326000,326000,320000,2000-03-30,9.0
283-0083-001-0000,2348,Calumet,95608,3,2,1535,0.23,1958,0,30,189900,189900,187500,2000-11-20,9.5
230-0264-003-0000,5133,Locust,95608,3,2,1900,0.23,1962,0,4,199500,199500,197500,2000-03-10,8.75
256-0111-010-0000,4912,Engle,95608,3,2,1100,0.23,1957,0,11,124900,124900,123000,2000-03-10,8.75
236-0041-024-0000,5143,Patti Jo,95608,4,2,1808,0.21,1969,0,91,179900,179900,178000,2000-03-10,8.75
236-0281-041-0000,6035,Helva,95608,3,2,1425,0.24,1984,0,137,159900,159000,148800,2000-03-06,8.75
232-0081-010-0000,5543,Woodleigh,95608,3,2,1400,0.25,1958,0,6,149950,145000,143500,2000-03-06,8.75
232-0082-005-0000,5518,Woodleigh,95608,3,1,1040,0.21,1958,0,68,139900,135000,135000,2000-11-30,9.5
230-0251-017-0000,5505,Valerie,95608,3,2,1505,0.17,1960,0,18,158900,158900,159000,2000-11-30,9.5
232-0332-019-0000,5412,Carden,95608,4,2,2584,0.24,1961,0,27,165000,165000,168000,2000-11-30,9.5
258-0410-002-0000,3330,Winsome,95608,5,3,3109,0.24,1996,0,34,394950,394950,390000,2000-11-30,9.5
260-0141-028-0000,3645,Voleyn $2000bonus,95608,4,3,2843,0.23,1999,0,48,449000,444000,435000,2000-11-30,9.5
289-0411-007-0000,4721,Marguerite,95608,3,3,1996,0.25,1960,0,27,339000,324950,312500,2000-11-30,9.5
282-0340-013-0000,4965,Clear Cr,95608,3,2,1295,0.18,1974,0,10,159500,167500,162500,2000-11-30,9.5
273-0161-013-0000,6001,Kenneth,95608,3,2,1210,0.23,1954,0,29,199500,199500,198500,2000-11-30,9.5
273-0192-037-0000,2633,Riverpine,95608,4,3,2514,0.17,1979,0,6,289000,289000,289000,2000-11-30,9.5
260-0142-004-0000,7024,Sutter,95608,3,2,1008,0.23,1959,0,2,149500,149500,153000,2000-11-30,9.5
230-0401-005-0000,5234,Locust,95608,4,2,1432,0.23,1961,0,6,149000,149000,149000,2000-07-31,9.5
245-0111-008-0000,6505,Rolling,95608,3,2,1532,0.23,1968,0,23,184500,184500,182500,2000-07-31,9.5
247-0072-007-0000,4605,Stollwood,95608,3,3,1788,0.2,1968,0,19,309000,309000,298000,2000-07-31,9.5
245-0021-008-0000,6058,Winding,95608,3,2,1469,0.23,1957,0,0,165000,165000,165000,2000-07-31,9.5
260-0321-035-0000,3601,California,95608,2,1,1000,0.26,1948,0,4,109000,109000,115500,2000-07-31,9.5
236-0216-006-0000,5042,Robander,95608,3,2,1449,0.19,1963,0,10,159900,159900,165000,2000-07-31,9.5
273-0122-016-0000,6244,Kiernan,95608,4,3,1897,0.23,1957,0,0,175000,175000,172500,2000-07-31,9.5
236-0092-006-0000,4756,Crestview,95608,3,2,1700,0.26,1958,0,27,182500,182500,178000,2000-06-29,9.5
273-0081-022-0000,6225,Cole,95608,4,2,1598,0.23,1960,0,7,209000,209000,209000,2000-06-29,9.5
230-0860-043-0000,4613,Carrigan,95608,5,3,2645,0.17,1999,0,79,298000,289000,284000,2000-06-30,9.5
271-0170-125-0000,2831,Root,95608,2,2,1354,0.21,1981,0,92,159500,154500,150000,2000-06-30,9.5
232-0342-008-0000,6401,Madison,95608,3,2,1627,0.19,1962,0,45,130000,130000,132500,2000-06-30,9.5
245-0302-002-0000,5966,Camray Cr,95608,4,3,2128,0.18,1979,0,24,234000,234000,220000,2000-06-30,9.5
247-0293-015-0000,4477,Stollwood,95608,4,2,2260,0.21,1970,0,28,247750,234950,230000,2000-06-30,9.5
272-0313-010-0000,2518,El Tonas,95608,4,2,1536,0.23,1956,0,7,195000,195000,195000,2000-06-30,9.5
245-0222-021-0000,6441,Miles,95608,3,2,1000,0.24,1958,0,141,112500,130000,111200,2000-06-30,9.5
256-0284-015-0000,4911,Gibbons,95608,3,2,1365,0.23,1961,0,4,162000,162000,162000,2000-05-25,9.5
283-0480-019-0000,57,Covered Bridge,95608,3,3,2410,0.2,1987,0,65,498000,498000,445000,2000-05-25,9.5
258-0261-006-0000,3936,38 Apple Blossom,95608,4,2,1635,0.25,1962,0,69,121000,109000,123100,2000-05-25,9.5
232-0252-002-0000,6400,Templeton,95608,3,2,1027,0.18,1958,0,8,105000,105000,98000,2000-05-23,9.5
289-0311-007-0000,1437,Meredith,95608,3,2,1392,0.22,1959,0,17,230000,225000,215500,2000-05-23,9.5
236-0115-007-0000,6048,Cherrelyn,95608,3,2,1300,0.25,1959,0,47,160000,160000,161880,2000-05-17,9.5
273-0311-031-0000,3311,Parks,95608,3,1,1029,0.23,1960,0,36,159500,159500,155000,2000-05-17,9.5
260-0165-007-0000,6242,Cassady,95608,3,1,1008,0.25,1958,0,6,127500,127500,127500,2000-05-05,9.0
258-0121-007-0000,5544,Whitfield,95608,3,2,1405,0.23,1957,0,76,159900,159900,159000,2000-05-05,9.0
